,Transljteratjon,Translation
2615,nh .n M.n rnp .t Xrjt mwt mr nh .t stS rnp .t .f Xrjt mwt m hb tA,"Merenre has escaped the year which holds death just as Seth escaped his year which holds death, at the treading of the land i .e . at the going into the earth ."
2616,stp sA anx Hr jt .Tn wsjr M. Dr nw Dj .t .f sDb .f xr nTr .w,"Put the protection of life around your father Osiris Merire, since the time of his causing his coming to live by the gods ."
2617,j .Sm n wsjr M. pw,Go to Osiris Merire!
2618,j .Sm n wsjr P. pn,Go to Osiris Pepi!
2619,f A jt .Tn wsjr P. pn,Lift up your father Osiris Pepi!
2620,wnm .n,Let us eat .
2621,gmm .tj n DD .n n .k,What is found belongs to what we give to you .
2622,HkA .w .f tp rd .wj .fj,And his magic is before him .
2623,P. pw Xrj HkA,For Pepi is one who bears magic .
2624,HkA .w .f jr rd .wj .fj,And his magic before him .
2625,HkA .w .f jr gs .wj .fj,His magic on either side of him .
2626,HkA pn jrj .f jmj X .t njt M.,And what is in the belly of Merire is this magic which is against him .
2627,HkA .w .f tp rd .wj .fj,And his magic is before him .
2628,HkA nj Ne. n .f ,The magic of Neferkare is his .
2629,Dj .T sxm .f m D .t .f ,That you cause that he have power over his body .
2630,sxm .k m D .t .k,With you having power in your body .
2631,sxm .k m D .t .k,May you have power in your body .
2632,sxm .k m Xn .k,Your power within you .
2633,sxm nTr m D .t .f ,The god has power in his body .
2634,sxm nTr m D .t .f ,The god has power in his body .
2635,sxm .f m Xnw .f ,His power within him .
2636,sxm .k jm .sn,You having power over them .
2637,n sxm .k m nTr .w kA .w .sn jsT,Precisely because you have power over the gods and their Kas .
2638, j sxm m Ax .t sxm m nTr .w ,"One who has power in the horizon comes, having power over the gods ."
2639,sxm .k jm .sn,That you may have power over them .
2640,sxm .k jm .sn,You having power over them .
2641,sxm .k jm .s,That you be powerful by it .
2642,sxm .k jm .s xntj Ax .w,That you be powerful by it before the Akhs .
2643,sxm .k jm .s,May you be powerful by it .
2644, jqw .n .j jn .j n .k jr .t Hr ,"I have come, even bringing you the eye of Horus ."
2645, jw .n .j jn .j n .k jr .t Hr ,"I have come, even bringing you the eye of Horus ."
2646,jn .n .j n .k sj,To you have I brought it .
2647,jn .j n .j jr .tj Hr,Let me bring the two eyes of Horus .
2648,jn .n .j n .k jr .tj Hr,To you have I brought the eyes of Horus .
2649, jn .n .j pD .t jb stS ,For I have brought that which pleases Seth i .e the eye of Horus .
2650,jn .n .j n .k jr .t Hr jT.n .f r HA .t .k,"To you I have brought the eye of Horus, which he took away to your forehead ."
2651, jw .n .j jn .j n .k jr .tj Hr njtj D .t .f ,"I have come, even bringing you Horus’s own eyes ."
2652,jn .n .j n .k jr .tj Hr pD .t jb .f ,"I have brought you the eyes of Horus, which please his heart ."
2653, jn .n .j n .t jr .t Hr ,To you have I brought the eye of Horus .
2654,jn .n .j n .k jr .t Hr jmjt tAj .t rnn wt .jt tn nr .t .n n .s nTr .w,"To you I have brought the eye of Horus which is Tait, this cloth of which the gods are terrified ."
2655,Ssp n .k t .k pn m a .j,Receive this bread of yours from me!
2656, Ssp n .k t .k pn rDj .n .j n .k ,Receive this your bread which I gave to you!
2657,jw t .k xr .j ra nb,Your bread is from me every day .
2658, Hnk .j Tw m t .k mr Hnk sw Hr m jr .t .f ,"Let me present you with your bread, as Horus presents him with his eye ."
2659, Hnk .j Tw m t .k pw mr Hnk sw Hr Hr? m jr .t .f ,"Let me present you with this bread of yours, just as Horus presents him with his eye ."
2660,Ssp n .k sw m a .j,Receive it from me!
2661,Ssp n .k sw m a .j,Receive it from me!
2662, d .j Tw n jt .j Ne. ,Let me give you to my father Neferkare .
2663,Ssp n .k t .k pn m a .j,Receive this bread of yours from me!
2664, rDj .n .j n .k nTr .w nb .w jwa .t .sn jsT Df A .w .sn jsT jS .wt .sn nb .wt jsT ,"I have given you all the gods, and their inheritance, and their provisioning, and their rites ."
2665, Ssp n .k t .k pn rDj .n .j n .k ,Receive this your bread which I gave to you!
2666,jw t .k xr .j ra nb,Your bread is from me every day .
2667, Hnk .j Tw m t .k mr Hnk sw Hr m jr .t .f ,"Let me present you with your bread, as Horus presents him with his eye ."
2668, Hnk .j Tw m t .k pw mr Hnk sw Hr Hr? m jr .t .f ,"Let me present you with this bread of yours, just as Horus presents him with his eye ."
2669,jn .n .j n .k sA .k mrr .w .k wp rA .k,"I have brought you your son beloved of you, the opener of your mouth ."
2670,Dj .j n .f jr .tj .fj,Let me give him his eyes .
2671,jnk gbb,For I am Geb .
2672,jn pnd .n .j Tm m gbb m rn .T nj P.t,"Indeed I as Geb have made you fruitful, in your name of ‘sky .’"
2673,HA .n .j Tw Hr HA .t,I have mourned you at the tomb .
2674,jnk Hr,I am Horus .
2675, jw .n .j m xsf .k jnk Hr ,"I have come in approaching you, for I am Horus ."
2676,jnk Hr,For I am Horus .
2677,jnk Hr,I am Horus .
2678,jnk Hr,I am Horus .
2679,jw .k A xr .j Hr js nD .n .f jt .f wsjr,"Ah, you come to me, I being as Horus, who saved his father Osiris ."
2680,jnk Hr,I am Horus .
2681,jnk Hr,I am Horus .
2682,jnk Hr,I am Horus .
2683,jnk Hr jw .n .j xw .j Tw j Hr jr .t .n .f jr .k,I am Horus . I have come that I may protect you from what he did to you .
2684,jnk Hr,For I am Horus .
2685,jnk Hr,I am Horus .
2686,jnk sA .k Hr mrr Tw,I am your son Horus who loves you .
2687,jnk Hr,I am Horus .
2688,jnk Hr,I am Horus .
2689,jnk Hr,I am Horus .
2690,jn .n .j n .k sA .k mrr .w .k wp rA .k,"I have brought you your son beloved of you, the opener of your mouth ."
2691,jw .n .j mdw .j Hr tp .k jnk sA .k,"I have come in order that I may speak on your behalf, for I am your son ."
2692,jnk sA .k mry kw,For I am your son who loves you .
2693,jnk sA .k,I am your son .
2694,wp rA .f jn sA .f Hr mry .f ,"His mouth having been opened by his son Horus, beloved of him ."
2695,jn sA .k mry .k snT.n .f n .k jr .tj .kj,It is your son who is beloved of you who has repaired your eyes for you .
2696,jnk sA .k jwa .k,"For I am your son, your heir ."
2697,jnk sA .k ms .w .k,"I am your son, your child ."
2698,P. pj sA .k,Pepi is your son .
2699,jnk pw sA .k,For I am your son .
2700,jnk sA .k,For I am your son .
2701,jnk sA .k,For I am your son .
2702,jnk sA .k,I am your son .
2703,jnk sA .k mrr Tw,I am your son who loves you .
2704, d .j n .k tp .k smn .j n .k tp .k jr qs .w ,Let me1251 place your head for you; let me make firm your head for you upon your vertabrae .
2705,j Xrj,O one who bears .
2706,jnk DHw .tj,I am Thoth .
2707,jnk DHw .tj,I am Thoth .
2708,pr .n .k m bAH .f ,You went forth i .e . were born before him .
2709, wt .tj jr .f pr .n .k m bAH .f ,Being older than him: you came forth before him .
2710,wtw .tj,O eldest son .
2711,Htm .f Tw m nTr,That it may provide you as a god .
2712,Htm Tw m nTr,Provide yourself as a god!
2713, Htm Tw jm .s Htm .s Tw m nTr ,"Provide yourself with it, so that it may provide you as a god!"
2714, aHa .k P. pn nD .tj Htm .tj m nTr ,"May you arise, O Pepi, saved, provided as a god ."
2715,Htm Tw m nTr,Provide yourself as a god!
2716,Htm m nTr,Provided as a god .
2717,Htm Ne. pn m nTr,Let Neferkare be provided as a god .
2718,Htm .tj Hr .k jm .s,Provide your face with i!
2719,Htm n .k Hr .k jm .s,Provide your face with it!
2720,Htm kw Hr .k jm .s,Provide your face with it!
2721,Htm kw m jr .t Hr,Provide yourself with the eye of Horus!
2722,Htm .tj Hr .k jm .s pDpD,Provide your face with it suffused!
2723,Htm Tw jm .s,Provide yourself with it!
2724,Htm .f Hr .f jm .s,That he may provide his face with it .
2725, Htm Tw jm .s Htm .s Tw m nTr ,"Provide yourself with it, so that it may provide you as a god!"
2726,Htm Tw jm .s,Provide yourself with it!
2727,Htm .n .f Tw,He has provided you with his eye .
2728,Htm Tw m jr .t Hr dSr .t wr .t bA .w aSA .t wn .w,"Provide yourself with the red eye of Horus, great of might, manifold of being!"
2729, Htm kw m Hnq pr jm .k ,Provide yourself with the outflow which went forth from you!
2730,Htm Tw m Hnq pr jm .k,Provide yourself with the outflow which went forth from you!
2731,rDj n .k anx wAs nb D .t n .k jrj .k jn ra,"Let to you all life and dominion for ever be given, and to you what pertains to you, by Re ."
2732,Xnm .T P. m anx wAs,May you endow Pepi with life and dominion .
2733,Dj .k n .f anx wAs,That you give him life and dominion .
2734,Htm .sn Tw m anx wAs,Providing you with life and dominion .
2735,Htm .f Ne. pn m anx,Let him provide Neferkare with life .
2736, Ssp n .k fd .t .k jptw nms .wt aAb .wt ,Receive these your four Nemset jars and ‘Aabet jars .
2737,wab .tj m fd .t .k nms .wt fd .t .k aAb .wt,"And be purified with your four Nemset jars, and your four ‘Aabet jars ."
2738, wab .k m fd .t .k nms .wt jptw Spn .t aAb .t pr .t n .k m sH nTr nTr .k ,"May you be purified with these your four Nemset jars, a Shepenet jar, and an ‘Aabet jar, which went forth from the god’s booth to you, in order that you be a god ."
2739,Ssp n .k fd .t .k jptw njt nms .t wab .k jm .sn Hr js,"And receive these your four jars, and be purified by them as Horus!"
2740,Ssp n .k fd .wt .k jptwt nms .wt,Receive these your four jars!
2741, Ssp n .k wab .k pw fd .t .k jptw aAb .wt abH .tj m mr nTr ,"Receive this purification of yours, these four jars of yours, filled from the natron pool!"
2742, wab .tj .k m 8 .t .k nms .wt 8 .t aAb .wt pr .t m aH nTr ,That you be purified with your eight Nemset jars and the eight ‘Aabet jars which went forth from the temple .
2743,Ssp n .k fd .t .k jptw aAb .t abH .tj m mr nTr,"Receive your four jars, filled from the natron pool!"
2744, swab .n sw sTj .t m fd .t .s aAb .wt m Abw ,Satis having purified him with her four jars from Elephantine .
2745,wab .j m fd .t tj jptw nms .t,Pure through these four jars .
2746, wab .n W. pn m sx .t jAr .w ,Unas has become pure even in the field of rushes .
2747, wab .n P. Hna ra m mr jAr .w ,Pepi and Re have become pure even in the pool of rushes .
2748,wab T. m sx .t jAr .w,That Teti become pure in the field of rushes .
2749,wab Ne. m sx .t jAr .w,Neferkare is pure in the field of rushes .
2750, j .n P. wab .f P. m sx .t jAr .w ,"Pepi has come, only that he, Pepi, become pure in the field of rushes ."
2751, wab .n .f m sx .t jAr .w ,Having become pure in the field of
2752,wab P. m sx .t jAr .w,Pepi having been made pure in the field of rushes .
2753,wab .k m sx .t jAr .w,That you become pure in the field of rushes .
2754,wab .n M.n m mr jAr .w wab .n ra jm .f ,Merenre has become pure even in the pool of rushes in which Re became pure .
2755, wab .f m sx .t jAr .w ,Having been made pure in the field of rushes .
2756, wab P. pn Ds .f m mr jAr .w ,Pepi himself is pure in the pool of rushes .
2757,wab .n P. pn m sx .t jAr .w,Pepi has become pure even in the field of rushes .
2758, pr .w wab .k m sx .t jAr .w ,Go forth and become pure in the field of rushes!
2759,sab .w .k Hr tp SAb .t .k m sx .t jAr .w,And purified upon your flower in the field of rushes .
2760,n xnd .k Hr HwA .wt wsjr,And you not tread upon the putrefaction of Osiris .
2761,baH .k n .k rDw pr m nTr HwAA .wt pr .t m wsjr,"Your flood be yours—the efflux which went forth from the god, the putrefaction which went forth from Osiris!"
2762, rDw .k n .k pr m HwAA .t wsjr ,"Your efflux be yours, that which went forth as the putrefaction of Osiris!"
2763,j .wn .k,May you quicken .
2764,wn Tw,Quicken!
2765,wn Tw,Quicken!
2766,Ts Tw Hr gs .k,Raise yourself from upon your side!
2767,j .dr Tw Hr gs .k jAb .j,Remove yourself from upon your left side!
2768,Ts .snj wsjr Hr gs .f ,That they raise Osiris from upon his side .
2769,Ts Tw Hr gs .k jAb .j,Raise yourself from upon your left side!
2770,aHa Hr gs .k jAb .j,Arise from upon your left side!
2771,Ts Tw Hr jAb .k,Raise yourself from upon your left!
2772,Ts Tw Hr gs .k jAb .j,Raise yourself from upon your left side!
2773,j .dr Tw Hr gs .k jAb .j,Remove yourself from upon your left side!
2774,Ts Tw Hr gs .k wnm .j sDsr .w Tw Hr gs .k jAb .j,"Raise yourself upon your right side, raise yourself from upon your left side!"
2775,Ts Tw Hr gs .k jAb,Raise yourself from upon your left side!
2776,Ts Tw Hr gs .k pw jAb .j,Raise yourself from upon this your left side!
2777, aHa j .dr Tw Hr gs .k pw jAb .j ,Arise! Remove yourself from upon your left side!
2778,Ts Tw,Raise yourself !
2779,aHa Ts Tw,Arise! Raise yourself !
2780,Ts Tw,Raise yourself !
2781,Ts Tw,Raise yourself !
2782,aHa j .dr tA .k wxA xm .w .k Ts Tw,Arise! Throw off your earth! Cast off your dust! Raise yourself !
2783,Ts Tw,Raise yourself !
2784,Ts Tw m wsjr Ax js sA gbb tpj .f ,"Raise yourself as Osiris, as the Akh, the son of Geb, his first!"
2785,j .rs Ts Tw aHa,Awaken! Raise yourself ! Arise!
2786,Ts Tw,Raise yourself !
2787,aHa Ts Tw,Arise! Raise yourself !
2788,Ts Tw,Raise yourself !
2789,Ts Tw,Raise yourself !
2790,Ts Tw aHa,Raise yourself ! Arise!
2791,Ts Tw,Raise yourself !
2792,Ts Tw,Raise yourself !
2793,Ts Tw,Raise yourself .
2794,Ts Tw jr .k,Raise yourself !
2795,Ts Tw,Raise yourself !
2796,Ts Tw,Raise yourself !
2797,Ts Tw,Raise yourself !
2798,j .rs Ts Tw,Awaken! Raise yourself !
2799,Ts Tw,Raise yourself !
2800,Ts Tw,Raise yourself !
2801,Ts Tw,Raise yourself !
2802,Ts Tw,Raise yourself !
2803,aHa Ts Tw,Arise! Raise yourself !
2804,Ts Tw,Raise yourself !
2805,Ts Tw jr .k,Raise yourself !
2806,Ts Tw,Raise yourself !
2807,Tn sDr .w,"Be lifted up, O sleeper!"
2808,Ts Tw,Raise yourself !
2809,Ts Tw,Raise yourself !
2810,Ts Tw,Raise yourself !
2811,Ts Tw r .k,Raise yourself !
2812,Ts Tw,Raise yourself !
2813,Ts Tw,Raise yourself !
2814,Ts .k Tw Hr nxt .k,And raise yourself up on your strength!
2815,Ts Tw Ax,"Raise yourself, O Akh!"
2816,Ts Tw Hr gs .k wnm .j sDsr .w Tw Hr gs .k jAb .j,"Raise yourself upon your right side, raise yourself from upon your left side!"
2817,Ts Tw,Raise yourself!
2818,j .rs Ts Tw,Awaken! Raise yourself !
2819,Ts Tw r wr .w jr .k,Raise yourself to those who are greater than you!
2820,Ts Tw Hr qs .w .k bjA .jw a .wt .k nbw .jt,Raise yourself upon your metal bones and your golden limbs!
2821, Ts Tw jr t .k pn j .xm xsD ,Raise yourself to this your bread which cannot grow stale!
2822,Ts Tw jr .k Hms .k Hr Sw ,Raise yourself and sit upon the shade!
2823,xa ra,Let Re appear .
2824,xa ra jr .k,Re has appeared against you .
2825,xaj ra,That Re appear .
2826, xa .n P. pn Hna ra m xa .f ,Pepi has appeared even with Re at his appearance .
2827,sk Tw xa .tj m jAb .tj P.t,While you are appeared in the
2828, mr jr .t nTr .w jA m xsf .w xa ra ,Just as the gods make greeting in meeting the appearance of Re .
2829,wD W. r .k wD sw wD sw Dd mdw sp 4 n 4 jpw khA .w,"Commend Unas, commend him, commend him—recite four times—to these four who roar!"
2830,j .wD T. n mA HA .f mXn .tj nj mr nxAj,"Commend Teti to Mahaf, ferryman of the shifting waterway!"
2831,j .wD .f M. n jt .f jaH,Let him commend Merire to his father the moon .
2832,wD .f M.n n kA .w,Let him commend Merenre to the Kas .
2833, j .wD wj n anx sA spd .t ,"Commend me to the living one, the son of Sothis!"
2834,j .wD n .k P. pn,Commend Pepi to yourself!
2835,DA .f jm jr Ax .t,That he cross thereby to the horizon .
2836, DA .f jm jr Ax .t xr Hr Ax .tj ,"That he cross thereby to the horizon, to Harakhti ."
2837, DAj ra jm .sn jr Ax .t xr Hr Ax .tj ,"That Re cross by them to the horizon, to Harakhti ."
2838, j .nD Hr .k ra nm P.t DA nw .t ,"Hail to you, O Re, who traverses the sky, who crosses Nut ."
2839, DA ra Hr .snj xr Hr Ax .tj r Ax .t ,"That Re cross upon them to Harakhti, to the horizon ."
2840,DA .f jm xr Hr nTr .w jr Ax .t,"That he cross thereby to Horus of the gods, to the horizon ."
2841,DA .f jm xr Hr Ax .tj,That he cross thereby to Harakhti .
2842,DA .f jm jr Ax .t jr bw ms .w nTr .w jm,"That he cross thereby to the horizon, even to the place where the gods are born ."
2843, xbs .t ngA wa .tj xns P.t ," tail, O sole long horned bull who traverses the sky ."
2844, DA ra r Ax .t ,In order that Re cross to the horizon .
2845, rH .wj jpwj DAy P.t ,O Dual Companions who cross the
2846,jmj a .wj .kj n T.,Give your hand to Teti!
2847,DDj .k a .k jr jmn .t DDj .k a .k jr T.,"Even as you put your hand to the west, so do you give your hand to Teti ."
2848,jn ra Dj .f a .f n Ne.,It is Re who will give his hand to Neferkare .
2849,Dj ra a .f jr Ne. jr bw nb nty nTr jm,With Re giving his hand to Neferkare at any place where the god is .
2850,rDj .f a .f jr .k m jskn nj P.t,And he will put his hand upon you in the Yezken of the sky .
2851,jmj a .k n P. pn,Give your hand to Pepi!
2852,jmj a .k jr P.,Put your hand on Pepi!
2853,nDr .w .f n .k a .k,He will take your hand for you .
2854,nDr a .k jn ra,Your hand be grasped by Re .
2855,Sspp a .f jn ra,His hand will be received by Re .
2856,nDr .f n .f a .k,Let him take your hand .
2857,Ssp n .k T.,Accept the hand of Teti!
2858,wab .n ra m sx .t jAr .w,Re has become pure even in the field of rushes .
2859, wab .n P. Hna ra m mr jAr .w ,Pepi and Re have become pure even in the pool of rushes .
2860, wab .n T. Hr xa pw nj tA wab .n ra Hr .f ,Teti has become pure even upon this risen land upon which Re became pure .
2861,wab n .k ra,"Be pure, O Re!"
2862,wab .n M.n m mr jAr .w wab .n ra jm .f ,Merenre has become pure even in the pool of rushes in which Re became pure .
2863,wab ra m mr jAr .w,Re has become pure in the pool of rushes .
2864,wab .n ra m sx .t jAr .w,Re has become pure even in the field of rushes .
2865,jT .k n .k W. Hna .k Hna .k,"May you take Unas with you, with you ."
2866,Sd .n n .f ra M. pn r P.t,For himself has Re taken Merire out to the sky .
